TODO,temp,hum,Moisture
TODO,31.1,61.3,
TODO,31.3,60.7,
TODO,31.2,60.7,
TODO,31.3,60.6,
TODO,31.3,60.7,
TODO,31.1,60.6,
TODO,31.2,60.5,
TODO,31.3,60.7,
TODO,31.3,60.6,
TODO,31.3,60.5,
TODO,31.3,60.5,
TODO,31.3,60.6,
TODO,31.3,60.5,
TODO,31.2,60.6,
TODO,31.2,60.6,
TODO,31.3,60.6,
TODO,31.3,60.6,
TODO,31.2,60.6,
TODO,31.2,60.6,
TODO,31.2,60.5,
TODO,31.2,60.5,
TODO,31.2,60.6,
TODO,31.3,60.6,
TODO,31.3,60.6,
TODO,31.3,60.6,
TODO,31.2,60.5,
TODO,31.2,60.6,
TODO,31.2,60.5,
TODO,31.2,60.5,
TODO,31.2,60.6,
TODO,31.2,60.6,
TODO,31.2,60.6,
TODO,31.2,60.7,
TODO,31.2,60.7,
TODO,31.2,60.7,
TODO,31.3,60.7,
TODO,31.2,60.5,
TODO,31.3,60.5,
TODO,31.3,60.6,
TODO,31.3,60.7,
TODO,31.2,60.7,
TODO,31.2,60.9,
TODO,31.3,60.9,
TODO,31.2,61,
TODO,31.2,61.1,
TODO,31.2,60.8,
TODO,31.3,60.9,
TODO,31.3,60.9,
TODO,31.3,60.8,
TODO,31.2,60.8,
TODO,31.3,61,
TODO,31.3,61.1,
TODO,31.2,61.2,
TODO,31.3,61.1,
TODO,31.3,61,
TODO,31.2,61,
TODO,31.2,61,
TODO,31.3,61,
TODO,31.2,61,
TODO,31.2,61,
TODO,31.3,61,
TODO,31.3,61.1,
TODO,31.3,61,
TODO,31.3,61,
TODO,31.3,60.9,
TODO,31.3,61,
TODO,31.2,61,
TODO,31.3,61,
TODO,31.2,61,
TODO,31.3,61.1,
TODO,31.3,61.2,
TODO,31.2,61,
TODO,31.3,61,
TODO,31.3,60.8,
TODO,31.4,60.9,
TODO,31.3,60.9,
TODO,31.3,60.9,
TODO,31.3,60.8,
TODO,31.3,60.9,
TODO,31.3,61,
TODO,31.3,60.8,
TODO,31.4,60.9,
TODO,31.2,60.9,
TODO,31.3,60.9,
TODO,31.3,61,
TODO,31.3,61,
TODO,31.3,61,
TODO,31.3,61,
TODO,31.3,60.9,
TODO,31.4,60.8,
TODO,31.4,60.9,
TODO,31.4,60.8,
TODO,31.4,60.8,
TODO,31.3,60.9,
TODO,31.4,60.9,
TODO,31.3,60.9,
TODO,31.3,60.9,
TODO,31.4,60.9,
TODO,31.4,60.8,
TODO,31.4,60.9,
TODO,31.4,60.9,
TODO,31.4,60.9,
TODO,31.4,60.8,
TODO,31.4,60.8,
TODO,31.4,60.7,
TODO,31.3,60.8,
TODO,31.4,60.8,
TODO,31.4,60.8,
TODO,31.4,60.7,
TODO,31.4,60.7,
TODO,31.4,60.7,
TODO,31.4,60.8,
TODO,31.4,60.7,
TODO,31.4,60.7,
TODO,31.4,60.8,
TODO,31.3,60.7,
TODO,31.4,60.8,
TODO,31.4,60.7,
TODO,31.3,60.7,
TODO,31.4,60.7,
TODO,31.4,60.7,
TODO,31.4,60.9,
TODO,31.4,60.7,
TODO,31.3,60.8,
TODO,31.4,60.7,
TODO,31.4,60.7,
TODO,31.4,60.5,
TODO,31.5,60.6,
TODO,31.4,60.6,
TODO,31.4,60.6,
TODO,31.4,60.6,
TODO,31.4,60.6,
TODO,31.4,60.6,
TODO,31.4,60.7,
TODO,31.4,60.5,
TODO,31.4,60.5,
TODO,31.4,60.6,
TODO,31.4,60.6,
TODO,31.3,60.6,
TODO,31.4,60.5,
TODO,31.4,60.6,
TODO,31.3,60.5,
TODO,31.4,60.6,
TODO,31.4,60.6,
TODO,31.4,60.7,
TODO,31.4,60.6,
TODO,31.4,61,
TODO,31.4,61.4,
TODO,31.4,61.8,
TODO,31.4,61.7,
TODO,31.3,61.9,
TODO,31.4,61.9,
TODO,31.4,61.9,
TODO,31.4,61.9,
TODO,31.4,61.7,
TODO,31.4,61.7,
TODO,31.4,61.6,
TODO,31.5,61.5,
TODO,31.4,61.4,
TODO,31.4,61.3,
TODO,31.3,61,
TODO,31.4,61,
TODO,31.5,61,
TODO,31.4,61.1,
TODO,31.4,61.2,
TODO,31.4,61.1,
TODO,31.4,61.2,
TODO,31.4,61,
TODO,31.4,61.1,
TODO,31.4,60.9,
TODO,31.5,60.8,
TODO,31.4,60.9,
TODO,31.4,60.9,
TODO,31.4,60.9,
TODO,31.3,60.9,
TODO,31.4,61,
TODO,31.4,60.9,
TODO,31.4,60.8,
TODO,31.4,60.8,
TODO,31.4,60.9,
TODO,31.4,60.9,
TODO,31.4,60.8,
TODO,31.4,60.8,
TODO,31.4,60.7,
TODO,31.4,60.7,
TODO,31.4,60.7,
TODO,31.4,60.6,
TODO,31.4,60.8,
TODO,31.4,60.7,
TODO,31.4,60.6,
TODO,31.4,60.7,
TODO,31.4,60.7,
TODO,31.5,60.8,
TODO,31.4,60.7,
TODO,31.4,60.8,
TODO,31.3,60.7,
TODO,31.4,60.8,
TODO,31.3,60.7,
TODO,31.4,60.7,
TODO,31.4,60.7,
TODO,31.4,60.8,
TODO,31.4,60.8,
TODO,31.5,61,
TODO,31.4,60.9,
TODO,31.4,61,
TODO,31.5,60.9,
TODO,31.4,61.1,
TODO,31.3,61.1,
TODO,31.4,60.9,
TODO,31.5,61.4,
TODO,31.6,61.1,
TODO,31.5,61,
TODO,31.5,61,
TODO,31.6,61,
TODO,31.6,60.9,
TODO,31.5,60.9,
TODO,31.6,60.8,
TODO,31.5,60.8,
TODO,31.6,60.8,
TODO,31.6,60.6,
TODO,31.6,60.5,
TODO,31.6,60.6,
TODO,31.5,60.7,
TODO,31.5,60.7,
TODO,31.6,60.5,
TODO,31.6,60.4,
TODO,31.6,60.6,
TODO,31.8,62,
TODO,31.9,62.2,
TODO,32,62,
TODO,29.1,53.7,
TODO,29,53.6,
TODO,29.1,53.8,
TODO,29,53.8,
TODO,29,53.7,
TODO,29,53.6,
TODO,28.9,53.6,
TODO,28.9,53.5,
TODO,28.9,53.5,
TODO,29,53.5,
TODO,28.9,53.5,
TODO,28.9,53.5,
TODO,29,53.6,
TODO,28.9,53.5,
TODO,28.4,54.2,
TODO,28.4,54.2,
TODO,28.4,54.4,
TODO,28.4,54.4,
TODO,28.4,54.5,
TODO,28.5,54.3,
TODO,28.4,54.1,
TODO,28.5,54.1,
TODO,28.4,54.2,
TODO,28.5,54.1,
TODO,28.5,54.1,
TODO,28.5,54.3,
TODO,28.4,54.3,
TODO,28.4,54.3,
TODO,28.4,54.4,
TODO,28.5,54.4,
TODO,28.5,54.3,
TODO,28.4,54.6,
TODO,28.5,54.9,
TODO,28.4,55,
TODO,28.5,55,
TODO,28.5,54.9,
TODO,28.4,54.9,
TODO,28.5,54.9,
TODO,28.5,54.8,
TODO,28.5,54.8,
TODO,28.5,54.8,
TODO,28.5,54.7,
TODO,28.5,54.6,
TODO,28.5,54.7,
TODO,28.5,54.7,
TODO,28.6,54.6,
TODO,28.5,54.7,
TODO,28.5,54.5,
TODO,28.5,54.6,
TODO,28.6,54.7,
TODO,28.6,54.7,
TODO,28.5,54.7,
TODO,28.5,54.6,
TODO,28.5,54.7,
TODO,28.5,54.8,
TODO,28.5,54.7,
TODO,28.6,54.8,
TODO,28.5,54.9,
TODO,28.5,54.9,
TODO,28.5,54.9,
TODO,28.6,55,
TODO,28.5,54.9,
TODO,28.5,54.8,
TODO,28.5,54.7,
TODO,28.5,54.9,
TODO,28.5,54.7,
TODO,28.5,54.6,
TODO,28.6,54.6,
TODO,28.6,54.6,
TODO,28.6,54.6,
TODO,28.5,54.4,
TODO,28.6,54.4,
TODO,28.5,54.4,
TODO,28.5,54.4,
TODO,28.6,54.3,
TODO,28.6,54.4,
TODO,28.6,54.4,
TODO,28.5,54.3,
TODO,28.6,54.2,
TODO,28.5,54.4,
TODO,28.6,54.3,
TODO,28.6,54.2,
TODO,28.6,54.2,
TODO,28.6,54.1,
TODO,28.6,54.2,
TODO,28.5,54.2,
TODO,28.5,54.1,
TODO,28.6,54.2,
TODO,28.6,54,
TODO,28.6,54.1,
TODO,28.7,54,
TODO,28.7,54,
TODO,28.6,54,
TODO,28.6,53.8,
TODO,28.6,53.9,
TODO,28.6,53.8,
TODO,28.6,53.8,
TODO,28.6,53.7,
TODO,28.6,53.8,
TODO,28.6,53.8,
TODO,28.6,53.8,
TODO,28.6,53.9,
